Level:[error] LogTime: [July 4th 2023, 9:58:37 am] Message:-[getaddrinfo ENOTFOUND ac-kujlkoa-shard-00-00.qqbn9fb.mongodb.net status code: 500]
Level:[error] LogTime: [July 6th 2023, 9:13:07 pm] Message:-[Cast to Number failed for value "null" (type string) at path "releaseYear" for model "Product" status code: 500]
Level:[error] LogTime: [July 6th 2023, 9:13:07 pm] Message:-[Cast to Number failed for value "null" (type string) at path "releaseYear" for model "Product" status code: 500]
Level:[error] LogTime: [July 6th 2023, 9:13:07 pm] Message:-[Cast to Number failed for value "null" (type string) at path "releaseYear" for model "Product" status code: 500]
Level:[error] LogTime: [July 6th 2023, 9:20:45 pm] Message:-[Cast to Number failed for value "null" (type string) at path "releaseYear" for model "Product" status code: 500]
Level:[error] LogTime: [July 6th 2023, 9:29:47 pm] Message:-[Cast to Number failed for value "null" (type string) at path "releaseYear" for model "Product" status code: 500]
Level:[error] LogTime: [July 6th 2023, 9:29:47 pm] Message:-[Cast to Number failed for value "null" (type string) at path "releaseYear" for model "Product" status code: 500]
Level:[error] LogTime: [July 6th 2023, 9:33:28 pm] Message:-[Cast to Number failed for value "null" (type string) at path "releaseYear" for model "Product" status code: 500]
Level:[error] LogTime: [July 6th 2023, 9:34:26 pm] Message:-[Cast to Number failed for value "null" (type string) at path "releaseYear" for model "Product" status code: 500]
Level:[error] LogTime: [July 6th 2023, 9:34:26 pm] Message:-[Cast to Number failed for value "null" (type string) at path "releaseYear" for model "Product" status code: 500]
Level:[error] LogTime: [July 6th 2023, 9:34:26 pm] Message:-[Cast to Number failed for value "null" (type string) at path "releaseYear" for model "Product" status code: 500]
Level:[error] LogTime: [July 6th 2023, 9:37:39 pm] Message:-[Cast to Number failed for value "null" (type string) at path "releaseYear" for model "Product" status code: 500]
Level:[error] LogTime: [July 7th 2023, 12:31:19 pm] Message:-[Cannot read properties of undefined (reading 'map') status code: 500]
Level:[error] LogTime: [July 7th 2023, 12:31:19 pm] Message:-[Cannot read properties of undefined (reading 'map') status code: 500]
Level:[error] LogTime: [July 7th 2023, 12:31:19 pm] Message:-[Cannot read properties of undefined (reading 'map') status code: 500]
Level:[error] LogTime: [July 7th 2023, 12:31:19 pm] Message:-[Cannot read properties of undefined (reading 'map') status code: 500]
Level:[error] LogTime: [July 7th 2023, 12:31:19 pm] Message:-[Cannot read properties of undefined (reading 'map') status code: 500]
Level:[error] LogTime: [July 7th 2023, 12:31:19 pm] Message:-[Cannot read properties of undefined (reading 'map') status code: 500]
